Link;Preco;Endereco;Tipo;Area
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-fatima-60m2-RS391600/id-3526527/;R$ 391.600;Rua Antonio De Castro Franco, Fátima, Teresina/PI;apartamento;60m² / 60m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-fatima-62m2-RS450000/id-21832432/;R$ 450.000;Rua. Miosótis, Fátima, Teresina/PI;apartamento;62m² / 62m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-fatima-65m2-RS370000/id-25733226/;R$ 370.000;Rua Antonio De Castro Franco, 556, Fátima, Teresina/PI;apartamento;65m² / 65m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-fatima-97m2-RS620000/id-28825331/;R$ 620.000;Avenida Rio Poti, Fátima, Teresina/PI;apartamento;97m² / 97m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-fatima-RS490000/id-27562960/;R$ 490.000;Avenida Raul Lopes, 1905, Fátima, Teresina/PI;apartamento;76m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-38m2-RS188100/id-19460461/;R$ 188.100;Avenida Professor Camilo Filho, Gurupi, Teresina/PI;apartamento;38m² / 38m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-39m2-RS190000/id-25277331/;R$ 190.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;39m² / 39m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-39m2-RS195000/id-19141716/;R$ 195.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;39m² / 39m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-39m2-RS195000/id-19141726/;R$ 195.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;39m² / 39m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-39m2-RS195000/id-25106962/;R$ 195.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;39m² / 39m²
